Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,First_Marriage,Sex,Age,Age_at_Marriage,Age_at_Divorce,Age_of_Spouse,Age_at_Marriage_Spouse,Age_at_Divorce_Spouse,Duration_of_Marriage,Age_Difference,Number_of_Roles,Profession,Spouse_is_Celebrity,Married,Divorced,Alive_or_Dead,Alive_or_Dead_Spouse,Latitude,Longitude,Latitude_Spouse,Longitude_Spouse,Distance
Mary Angela Barnett,1949-09-25,"Ayios Dhometios, British Cyprus",,,David Robert Jones,1970-01-01,1980-01-01,1.0,1.0,2.0,0.0,1947-01-08,"London, England",2016-01-10,"New York City, US",2.0,1.0,2.0,0,F,74.0,21.0,31.0,69.0,23.0,33.0,10.0,2.0,3,"journalist, model, actor/actress",0,1,1,0,1,35.1727869,33.3290916,51.5072178,-0.1275862,3215.253494619379
Kathleen Joann Bradley,1951-01-10,"Girard, Ohio, U.S.",,,Bill Overton​ ​,1980-01-01,1984-01-01,2.0,1.0,2.0,0.0,,,,,,,,0,F,72.0,29.0,33.0,,,,4.0,,2,"model, actor/actress",0,1,1,0,0,41.1539465,-80.7014662,,,
Angelica Bridges,1970-11-20,"Harrisonville, Missouri, U.S.",,,Sheldon Souray​ ​,2002-01-01,2007-01-01,1.0,1.0,2.0,0.0,,,,,,,,0,F,53.0,32.0,37.0,,,,5.0,,2,"model, actor/actress",0,1,1,0,0,38.6533445,-94.3488372,,,
Christie Lee Hudson,1954-02-02,"Monroe, Michigan, U.S.",,,François Allaux ​ ​,1973-01-01,1981-01-01,4.0,4.0,3.0,0.0,,,,,,,,0,F,69.0,19.0,27.0,,,,8.0,,2,"model, actor/actress",0,1,1,0,0,41.9164343,-83.3977101,,,
Hannah Marcina Bronfman,1987-10-26,"New York City, U.S.",,,Brendan Fallis ​,2017-01-01,,1.0,0.0,2.0,0.0,,,,,,,,0,F,36.0,30.0,,,,,6.0,,1,model,0,1,0,0,0,40.7127753,-74.0059728,,,
Vanessa Urbieta Cornejo,1982-05-05,"Los Angeles, California, U.S.",,,Kobe Bryant​ ​,2001-01-01,,1.0,0.0,,1.0,,,,,,,,0,F,41.0,19.0,,,,,,,1,model,0,1,0,0,0,34.0549076,-118.242643,,,
Lauren Pierce Bush,1984-06-25,"Denver, Colorado, U.S.",,,David Lauren ​,2011-01-01,,1.0,0.0,3.0,0.0,1971-10-31,"New York City, U.S.",,,1.0,0.0,3.0,1,F,39.0,27.0,,52.0,40.0,,12.0,13.0,1,model,0,1,0,0,0,39.7392358,-104.990251,40.7127753,-74.0059728,2619.0531203045634
Barbara Kingsbury,1945-01-01,"Bluefields, Nicaragua",,,Otto Kurt Freiherr von Hoffman​ ​,1966-01-01,1972-01-01,3.0,3.0,,0.0,,,,,,,,0,F,78.0,21.0,27.0,,,,6.0,,2,"model, actor/actress",0,1,1,0,0,12.0111402,-83.7703693,,,
Dorthy Mae Towles,1922-07-26,"Texarkana, Texas, U.S.",2006-07-07,"New York City, U.S.",Dr. Nathaniel Alfonso Fearonce​ ​,1947-01-01,1950-01-01,2.0,1.0,2.0,1.0,,,,,,,,0,F,84.0,25.0,28.0,,,,3.0,,1,model,0,1,1,1,0,33.425125,-94.04768820000001,,,
Ciara Princess Harris,1985-10-25,"Fort Cavazos, Texas, U.S.",,,Russell Wilson ​,2016-01-01,,1.0,0.0,3.0,0.0,,,,,,,,0,F,38.0,31.0,,,,,7.0,,3,"model, dancer, singer",0,1,0,0,0,31.13633149999999,-97.7797049,,,
Susie Coelho,1953-12-07,"Cuckfield, Sussex, England",,,Sonny Bono​ ​,1981-01-01,1984-01-01,2.0,1.0,2.0,0.0,,,,,,,,0,F,70.0,28.0,31.0,,,,3.0,,2,"model, actor/actress",0,1,1,0,0,51.005813,-0.143636,,,
Isabelle Abiera Collins,1992-08-28,"California, U.S.",,,Pancho Angelo Acuña Magno,2017-01-01,2023-01-01,1.0,1.0,1.0,0.0,1986-10-02,"Marikina, Philippines",,,1.0,1.0,1.0,0,F,31.0,25.0,31.0,37.0,31.0,37.0,6.0,6.0,1,model,1,1,1,0,0,36.778261,-119.4179324,14.65073,121.1028546,11485.523097819481
Cynthia Ann Crawford,1966-02-20,"DeKalb, Illinois, U.S.",,,Richard Gere​ ​,1991-01-01,1995-01-01,2.0,1.0,2.0,0.0,1949-08-31,"Philadelphia, Pennsylvania, U.S.",,,3.0,2.0,3.0,0,F,57.0,25.0,29.0,74.0,42.0,46.0,4.0,17.0,2,"model, actor/actress",0,1,1,0,0,41.9295355,-88.74991279999999,39.9525839,-75.1652215,1160.7154078144192
Cathee Dahmen,1945-09-16,,1997-11-25,,Leonard Whiting​ ​,1971-01-01,1977-01-01,2.0,1.0,4.0,0.0,1950-06-30,"London, England",,,2.0,1.0,2.0,1,F,52.0,26.0,32.0,73.0,21.0,27.0,6.0,5.0,1,model,0,1,1,1,0,,,51.5072178,-0.1275862,
Torrey DeVitto,1984-06-08,"Huntington, New York, U.S.",,,Paweł Tomasz Wasilewski,2011-01-01,2013-01-01,1.0,1.0,,0.0,1982-07-23,"New Brunswick, New Jersey, U.S.",,,2.0,2.0,,1,F,39.0,27.0,29.0,41.0,29.0,31.0,2.0,2.0,2,"model, actor/actress",0,1,1,0,0,40.8681539,-73.425676,40.4862157,-74.4518188,96.39322783400993
Cameron Michelle Diaz,1972-08-30,"San Diego, California, U.S.",,,Benjamin Levi Combs,2015-01-01,,1.0,0.0,1.0,0.0,1979-03-11,"Waldorf, Maryland, U.S.",,,1.0,0.0,1.0,1,F,51.0,43.0,,44.0,36.0,,8.0,7.0,4,"musician, model, writers, actor/actress",0,1,0,0,0,32.715738,-117.1610838,38.6265124,-76.9105483,3664.9630149904324
Janice Dickinson,1955-02-16,"New York City, U.S.",,,Ron Levy​ ​,1977-01-01,1979-01-01,4.0,3.0,2.0,0.0,,,,,,,,0,F,68.0,22.0,24.0,,,,2.0,,4,"musician, model, writers, director",0,1,1,0,0,40.7127753,-74.0059728,,,
Rima Fakih,1985-09-22,"Srifa, Lebanon",,,Wassim Joseph Slaiby,2016-01-01,,1.0,0.0,3.0,0.0,1979-11-16,"Ghazir, Lebanon",,,1.0,0.0,3.0,1,F,38.0,31.0,,44.0,37.0,,7.0,6.0,1,model,0,1,0,0,0,33.2816736,35.3971423,34.0185834,35.6628902,85.553061503066
Loletha Elayne Falana,1942-09-11,"Camden, New Jersey, U.S.",,,Feliciano Tavares Jr.​ ​,1970-01-01,1975-01-01,1.0,1.0,,0.0,,,,,,,,0,F,81.0,28.0,33.0,,,,5.0,,3,"model, actor/actress, dancer",0,1,1,0,0,39.9259463,-75.1196199,,,
Ferrah Leni Fawcett,1947-02-02,"Corpus Christi, Texas, U.S.",2009-06-25,"Santa Monica, California, U.S.",Harvey Lee Yeary,1973-01-01,1982-01-01,1.0,1.0,1.0,0.0,1939-04-23,"Wyandotte, Michigan, U.S.",,,4.0,3.0,4.0,0,F,62.0,26.0,35.0,84.0,34.0,43.0,9.0,8.0,2,"model, actor/actress",1,1,1,1,0,27.8005828,-97.39638099999999,42.21420639999999,-83.14992389999999,2056.0633543444537
Jennifer Flavin Stallone,1968-08-14,"Los Angeles, California, U.S.",,,Sylvester Gardenzio Stallone,1997-01-01,,1.0,0.0,3.0,0.0,1946-07-06,"New York City, U.S.",,,3.0,2.0,5.0,0,F,55.0,29.0,,77.0,51.0,,26.0,22.0,1,model,1,1,0,0,0,34.0549076,-118.242643,40.7127753,-74.0059728,3935.536977390735
Julia Fox,1990-02-02,"Milan, Italy",,,Peter Artemiev​ ​,2018-01-01,2020-01-01,1.0,1.0,1.0,0.0,,,,,,,,0,F,33.0,28.0,30.0,,,,2.0,,1,model,0,1,1,0,0,45.4642035,9.189982,,,
Leila Marie Goldkuhl,1991-12-30,"Framingham, Massachusetts, U.S.",,,Robbie Masterson ​,2017-01-01,,1.0,0.0,2.0,0.0,,,,,,,,0,F,32.0,26.0,,,,,6.0,,1,model,0,1,0,0,0,42.279286,-71.4161565,,,
Shelley Marie Hack,1947-07-06,"Greenwich, Connecticut, U.S.",,,Harry Winer ​,1990-01-01,,1.0,0.0,1.0,0.0,1947-05-04,"Detroit, Michigan",,,1.0,0.0,1.0,1,F,76.0,43.0,,76.0,43.0,,33.0,0.0,2,"model, actor/actress",0,1,0,0,0,41.0262417,-73.6281964,42.331427,-83.0457538,795.0369178741907
Birgitta Wetterhall,1933-09-06,"Linköping, Sweden",2016-08-13,"Studio City, California",Leslie Jackson​ ​,1954-01-01,1957-01-01,3.0,2.0,3.0,1.0,,,,,,,,0,F,83.0,21.0,24.0,,,,3.0,,2,"model, actor/actress",0,1,1,1,0,58.41080700000001,15.6213727,,,
Florence Eloise Hardt,1917-09-17,"Lawton, Oklahoma, U.S.",2017-06-25,"Palos Verdes Estates, California, U.S.",Hans Habe​ ​,1948-01-01,1959-01-01,2.0,1.0,1.0,0.0,,,,,,,,0,F,100.0,31.0,42.0,,,,11.0,,2,"model, actor/actress",0,1,1,1,0,34.6035669,-98.39592909999999,,,
Angela Michelle Harmon,1972-08-10,"Highland Park, Texas, U.S.",,,Jason Sehorn​ ​,2001-01-01,2016-01-01,1.0,1.0,3.0,0.0,,,,,,,,0,F,51.0,29.0,44.0,,,,15.0,,2,"model, actor/actress",0,1,1,0,0,32.8334607,-96.79194539999999,,,
Marie Helvin,1952-08-13,"Tokyo, Japan",,,David Royston Bailey,1975-01-01,1985-01-01,1.0,1.0,,0.0,1938-01-02,"Leytonstone, Essex, England",,,4.0,3.0,3.0,0,F,71.0,23.0,33.0,85.0,37.0,47.0,10.0,14.0,1,model,0,1,1,0,0,35.6761919,139.6503106,51.57424469999999,0.4856781,9529.80084978308
Margot Louise Hemingway,1954-02-16,"Portland, Oregon, U.S.",1996-07-01,"Santa Monica, California, U.S.",Erroll Wetanson​ ​,1975-01-01,1978-01-01,2.0,2.0,,0.0,,,,,,,,0,F,42.0,21.0,24.0,,,,3.0,,2,"model, actor/actress",0,1,1,1,0,45.515232,-122.6783853,,,
Donna Rice Hughes,1958-01-07,"Delacroix, Louisiana, U.S.",,,Jack Hughes ​,1994-01-01,,1.0,0.0,,0.0,,,,,,,,0,F,65.0,36.0,,,,,29.0,,1,model,0,1,0,0,0,29.7615983,-89.79089669999999,,,
Dominique Jackson ,1975-03-20,"Scarborough, Trinidad and Tobago",,,Al Jackson​ ​,2016-01-01,2018-01-01,1.0,1.0,,0.0,,,,,,,,0,F,48.0,41.0,43.0,,,,2.0,,1,model,0,1,1,0,0,11.1869803,-60.7301511,,,
Janet Damita Jo Jackson,1966-05-16,"Gary, Indiana, US",,,James Curtis DeBarge,1984-01-01,1985-01-01,3.0,3.0,1.0,0.0,1963-08-22,"Detroit, Michigan, U.S.",,,1.0,1.0,3.0,1,F,57.0,18.0,19.0,60.0,21.0,22.0,1.0,3.0,4,"model, actor/actress, dancer, singer",0,1,1,0,0,41.6020403,-87.3371523,42.331427,-83.0457538,363.9080947737118
Celina Horan,1985-06-10,British Hong Kong,,,Han Geng ​,2019-01-01,,1.0,0.0,1.0,0.0,1984-02-09,"Mudanjiang, Heilongjiang, China",,,1.0,0.0,1.0,1,F,38.0,34.0,,39.0,35.0,,4.0,1.0,2,"model, actor/actress",0,1,0,0,0,,,44.5526899,129.63244,
Jarma Toy Lewis,1931-06-05,"Tuscaloosa, Alabama, U.S.",1985-11-12,"Los Angeles, California, U.S.",Benjamin Edward Bensinger III​ ​,1955-01-01,1984-01-01,1.0,1.0,3.0,0.0,,,,,,,,0,F,54.0,24.0,53.0,,,,29.0,,2,"model, actor/actress",0,1,1,1,0,33.2098407,-87.56917349999999,,,
Alicia Tully Jensen,1963-12-02,United States,,,Antonio Sabàto Jr.​ ​,1992-01-01,1993-01-01,1.0,1.0,,0.0,1972-02-29,"Rome, Italy",,,2.0,2.0,3.0,1,F,60.0,29.0,30.0,51.0,20.0,21.0,1.0,9.0,2,"model, actor/actress",0,1,1,0,0,37.09024,-95.712891,41.9027835,12.4963655,8612.32996339728
Hannah Jeter,1990-05-05,"St. Thomas, U.S. Virgin Islands",,,Derek Jeter ​,2016-01-01,,1.0,0.0,4.0,0.0,,,,,,,,0,F,33.0,26.0,,,,,7.0,,1,model,0,1,0,0,0,18.3380965,-64.8940946,,,
Olivia Jordan Thomas,1988-09-28,"Tulsa, Oklahoma, U.S.",,,Jay Hector ​,2019-01-01,,1.0,0.0,1.0,0.0,,,,,,,,0,F,35.0,31.0,,,,,4.0,,2,"model, actor/actress",0,1,0,0,0,36.1539816,-95.99277500000001,,,
Haley O'Brien,1992-08-06,"Excelsior, Minnesota, U.S.",,,Matt Kalil​ ​,2015-01-01,2022-01-01,1.0,1.0,,0.0,,,,,,,,0,F,31.0,23.0,30.0,,,,7.0,,1,model,0,1,1,0,0,44.9032963,-93.5663455,,,
Alison Parker Kay,,"Miami, FloridaUnited States",,,Prince Alexander von Fürstenberg​ ​,2020-01-01,,1.0,0.0,,0.0,,,,,,,,0,F,,,,,,,3.0,,1,model,0,1,0,0,0,25.7616798,-80.1917902,,,
Karlie Elizabeth Kloss,1992-08-03,"Chicago, Illinois, U.S.",,,Joshua Kushner ​,2018-01-01,,1.0,0.0,2.0,0.0,1985-06-12,"Livingston, New Jersey, U.S.",,,1.0,0.0,2.0,1,F,31.0,26.0,,38.0,33.0,,5.0,7.0,1,model,0,1,0,0,0,41.8781136,-87.6297982,40.7862871,-74.3300842,1115.943714789614
Heidi Klum,1973-06-01,"Bergisch Gladbach, West Germany",,,Ric Pipino​ ​,1997-01-01,2002-01-01,3.0,2.0,4.0,0.0,,,,,,,,0,F,50.0,24.0,29.0,,,,5.0,,2,"model, actor/actress",0,1,1,0,0,50.98964789999999,7.1229789,,,
Zoe Isabella Kravitz,1988-12-01,"Los Angeles, California, U.S.",,,Karl Glusman​ ​,2019-01-01,2021-01-01,1.0,1.0,,0.0,1988-01-03,"New York City, U.S.",,,1.0,1.0,,0,F,35.0,31.0,33.0,35.0,31.0,33.0,2.0,0.0,2,"model, actor/actress",0,1,1,0,0,34.0549076,-118.242643,40.7127753,-74.0059728,3935.536977390735
Vanessa Joy Minnillo,1980-11-09,"Angeles City, Philippines",,,Nicholas Scott Lachey,2011-01-01,,1.0,0.0,3.0,0.0,1973-11-09,"Harlan, Kentucky, U.S.",,,2.0,1.0,3.0,0,F,43.0,31.0,,50.0,38.0,,12.0,7.0,2,"model, actor/actress",1,1,0,0,0,15.1449853,120.5887029,36.8431441,-83.321848,13714.19806143381
Eva Maria LaRue,1966-12-27,"Long Beach, California, U.S.",,,John O'Hurley​ ​,1992-01-01,1994-01-01,3.0,3.0,1.0,0.0,,,,,,,,0,F,57.0,26.0,28.0,,,,2.0,,2,"model, actor/actress",0,1,1,0,0,33.7700504,-118.1937395,,,
Melinda Kae Ledbetter,1946-10-03,United States,,,Brian Wilson ​,1995-01-01,,1.0,0.0,,0.0,,,,,,,,0,F,77.0,49.0,,,,,28.0,,1,model,0,1,0,0,0,37.09024,-95.712891,,,
Ruta Mary Kilmonis,1935-05-30,"Montreal, Quebec, Canada",,,Webster B. Lowe Jr.​ ​,1976-01-01,,1.0,0.0,,1.0,,,,,,,,0,F,88.0,41.0,,,,,,,3,"model, actor/actress, dancer",0,1,0,0,0,45.5018869,-73.56739189999999,,,
Angela Lindvall,1979-01-14,"Midwest City, Oklahoma, U.S.",,,William Edwards​ ​,2002-01-01,2006-01-01,1.0,1.0,2.0,0.0,,,,,,,,0,F,44.0,23.0,27.0,,,,4.0,,2,"model, actor/actress",0,1,1,0,0,35.4495065,-97.3967019,,,
Margaret Ann Lipton,1946-08-30,"New York City, U.S.",2019-05-11,"Los Angeles, California, U.S.",Quincy Delight Jones Jr.,1974-01-01,1989-01-01,1.0,1.0,,0.0,1933-03-14,"Chicago, Illinois, U.S.",,,3.0,3.0,7.0,0,F,73.0,28.0,43.0,90.0,41.0,56.0,15.0,13.0,2,"model, actor/actress",0,1,1,1,0,40.7127753,-74.0059728,41.8781136,-87.6297982,1144.293950028263
Lisa Selesner,1978-05-26,Monaco,,,Daniel N Wu,2010-01-01,,1.0,0.0,1.0,0.0,1974-09-30,"Berkeley, California, U.S.",,,1.0,0.0,1.0,1,F,45.0,32.0,,49.0,36.0,,13.0,4.0,1,model,1,1,0,0,0,43.73841760000001,7.424615799999999,37.8715226,-122.273042,9624.220629419618
Sandra Louise Smith,1944-05-28,"Shelbyville, Tennessee, U.S.",2018-11-03,"Los Angeles, California, U.S.",Gordon Anderson ​,1967-01-01,,1.0,0.0,,0.0,,,,,,,,0,F,74.0,23.0,,,,,51.0,,3,"model, actor/actress, director",0,1,0,1,0,35.483406,-86.46027169999999,,,
Kristanna Loken,1979-10-08,"Ghent, New York, U.S.",,,Noah Danby​ ​,2008-01-01,2009-01-01,1.0,1.0,1.0,0.0,1974-04-24,"Guelph, Ontario, Canada",,,1.0,1.0,,1,F,44.0,29.0,30.0,49.0,34.0,35.0,1.0,5.0,2,"model, actor/actress",0,1,1,0,0,42.3292525,-73.6156735,43.5448048,-80.24816659999999,556.4154986789964
Eva Jacqueline Longoria,1975-03-15,"Corpus Christi, Texas, U.S.",,,Tyler Christopher Baker,2002-01-01,2004-01-01,3.0,2.0,1.0,0.0,1972-11-11,"Joliet, Illinois, U.S.",,,2.0,2.0,2.0,1,F,48.0,27.0,29.0,51.0,30.0,32.0,2.0,3.0,2,"model, actor/actress",0,1,1,0,0,27.8005828,-97.39638099999999,41.525031,-88.0817251,1745.1952790204891
Ally Love ,,,,,Andrew Haynes ​,2021-01-01,,1.0,0.0,,0.0,,,,,,,,0,F,,,,,,,2.0,,2,"model, dancer",0,1,0,0,0,,,,,
Carey Lowell,1961-02-11,"Huntington, New York, US",,,John Stember​ ​,1984-01-01,1988-01-01,3.0,3.0,2.0,0.0,,,,,,,,0,F,62.0,23.0,27.0,,,,4.0,,2,"model, actor/actress",0,1,1,0,0,40.8681539,-73.425676,,,
Peggy Ann Freeman,1945-08-31,"Detroit, Michigan, U.S.",1979-05-17,"Rome, Italy",Luigi Cazzaniga ​,1976-01-01,,1.0,0.0,1.0,0.0,,,,,,,,0,F,34.0,31.0,,,,,3.0,,2,"model, actor/actress",0,1,0,1,0,42.331427,-83.0457538,,,
Zoë Tamerlis,1962-02-09,"New York City, U.S.",1999-04-16,"Paris, France",Robert Lund ​,1986-01-01,,1.0,0.0,,0.0,,,,,,,,0,F,37.0,24.0,,,,,13.0,,3,"model, actor/actress, director",0,1,0,1,0,40.7127753,-74.0059728,,,
Kelly Lynch,1959-01-31,"Golden Valley, Minnesota, U.S.",,,Mitch Glazer ​,1992-01-01,,1.0,0.0,1.0,0.0,,"Key Biscayne, Florida, U.S.",,,2.0,1.0,,0,F,64.0,33.0,,,,,31.0,,2,"model, actor/actress",0,1,0,0,0,44.9917149,-93.3600034,25.693713,-80.1628248,2449.72052759998
Carole Ann Jones,1942-02-13,"New York City, U.S.",2019-09-03,"Los Angeles, California, U.S.",Michael Selsman​ ​,1960-01-01,1964-01-01,1.0,1.0,1.0,0.0,,,,,,,,0,F,77.0,18.0,22.0,,,,4.0,,2,"model, actor/actress",0,1,1,1,0,40.7127753,-74.0059728,,,
Nadine Caridi,1967-12-24,"London, England",,,Jordan Ross Belfort,1991-01-01,2005-01-01,1.0,1.0,2.0,0.0,1962-07-09,"New York City, U.S.",,,4.0,3.0,,0,F,56.0,24.0,38.0,61.0,29.0,43.0,14.0,5.0,1,model,0,1,1,0,0,51.5072178,-0.1275862,40.7127753,-74.0059728,5570.242530860794
Elizabeth Alice MacGraw,1939-04-01,"Pound Ridge, New York, U.S.",,,Robin Hoen​ ​,1960-01-01,1962-01-01,3.0,3.0,1.0,0.0,,,,,,,,0,F,84.0,21.0,23.0,,,,2.0,,2,"model, actor/actress",0,1,1,0,0,41.208442,-73.57482,,,
Noelie da Souza Machado,1929-12-25,"Shanghai, China",2016-12-18,"Stony Brook, New York, U.S.",Martin LaSalle​ ​,1957-01-01,1965-01-01,1.0,1.0,2.0,0.0,1930-01-01,,2018-10-17,,2.0,1.0,3.0,0,F,87.0,28.0,36.0,88.0,27.0,35.0,8.0,1.0,1,model,0,1,1,1,1,31.230416,121.473701,,,
Wendie Malick,1950-12-13,"Buffalo, New York, U.S.",,,Mitch Glazer​ ​,1982-01-01,1989-01-01,2.0,1.0,,0.0,,"Key Biscayne, Florida, U.S.",,,2.0,1.0,,1,F,73.0,32.0,39.0,,,,7.0,,2,"model, actor/actress",0,1,1,0,0,42.88644679999999,-78.8783689,25.693713,-80.1628248,1915.3173982236722
Patricia Mallory,1913-10-22,,1958-12-01,"Santa Monica, California, U.S.",William Cagney​ ​,1933-01-01,1946-01-01,2.0,1.0,2.0,0.0,1905-03-26,"New York City, U.S.",1988-01-03,"Newport Beach, California, U.S.",2.0,2.0,3.0,0,F,45.0,20.0,33.0,83.0,28.0,41.0,13.0,8.0,3,"model, actor/actress, dancer",0,1,1,1,1,,,40.7127753,-74.0059728,
Johanna Selhorst Maran,1978-05-08,"Menlo Park, California, United States",,,David Belle ​,2018-01-01,,1.0,0.0,2.0,0.0,,,,,,,,0,F,45.0,40.0,,,,,5.0,,2,"model, actor/actress",0,1,0,0,0,37.4529598,-122.1817252,,,
Eva Marcille Pigford,1984-10-30,"Los Angeles, California, U.S.",,,Michael Sterling​ ​,2018-01-01,2023-01-01,1.0,1.0,3.0,0.0,,,,,,,,0,F,39.0,34.0,39.0,,,,5.0,,1,model,0,1,1,0,0,34.0549076,-118.242643,,,
Audra Diane Mari,1994-01-08,"Fargo, North Dakota, U.S.",,,Joshua David Duhamel,2022-01-01,,1.0,0.0,,0.0,1972-11-14,"Minot, North Dakota, U.S.",,,2.0,1.0,1.0,0,F,29.0,28.0,,51.0,50.0,,1.0,22.0,1,model,1,1,0,0,0,46.8771863,-96.7898034,48.2329668,-101.2922906,369.91217055531763
Amber Brkich,1978-08-11,,,,Rob Mariano ​,2005-01-01,,1.0,0.0,4.0,0.0,1975-12-25,"Hyde Park, Boston, Massachusetts, U.S.",,,1.0,0.0,4.0,1,F,45.0,27.0,,48.0,30.0,,18.0,3.0,1,model,0,1,0,0,0,,,42.2556619,-71.1255855,
Bridget Marquardt,1973-09-25,"Tillamook, Oregon, U.S.",,,Chad Marquardt ​ ​,1997-01-01,2008-01-01,1.0,1.0,,0.0,,,,,,,,0,F,50.0,24.0,35.0,,,,11.0,,1,model,0,1,1,0,0,45.4562158,-123.8440137,,,
